ID	PC1	PC2	PC3	PC4
HG00596	-1.32689	-0.23461	0.84286	0.4943
HG00597	-1.15377	-0.00941	1.32401	-1.58406
HG00598	0.07391	1.03348	0.47859	-0.01429
HG00599	1.1697	0.40434	1.18829	0.85513
HG00607	-1.15432	-0.38999	-2.36024	-1.2702
HG00608	0.68659	-0.49928	0.65112	0.1274
HG00609	1.08015	-0.81375	-0.79034	-1.11634
HG00610	-2.24918	-1.67552	1.86929	0.37554
HG00611	-0.57593	0.181	0.02505	-0.18755
HG00612	-1.00964	1.97827	0.84897	0.2887
HG00613	-1.67556	-0.60386	0.63117	0.12128
HG00614	1.50104	0.19416	-0.85396	-0.35682
HG00615	1.33194	0.86289	2.44672	0.62568
HG00619	-0.12223	-0.27635	0.9837	-0.5546
HG00620	0.63369	0.71638	0.4796	0.79661
HG00621	-0.62449	1.11953	0.6562	-0.27161
HG00622	0.06196	-0.03948	0.10702	0.27404
HG00623	0.95745	0.00913	0.14846	0.65501
HG00625	-1.52462	-0.36454	-1.07178	-0.18011
HG00626	-2.8053	0.26694	-0.95492	-0.1121
HG00627	0.87573	0.31443	0.09421	-0.53562
HG00628	0.6006	0.05098	-1.35092	-0.28784
HG00629	-0.30193	0.72704	-0.10398	0.36092
HG00630	1.27832	0.11153	-0.0873	0.06699
HG00631	-0.57396	-0.68888	-1.46945	-0.10812
HG00632	-0.23784	-1.07899	-0.19999	0.5008
HG00634	-0.09053	-0.72933	1.48507	-0.31457
HG00635	-1.23649	0.21269	1.33555	0.88274
HG00636	0.71078	-1.60046	0.61395	-1.00162
HG00637	1.70431	-0.86744	1.98209	0.74616
HG00638	0.00345	1.68648	-0.80041	1.70409
HG00639	-1.03016	-0.85245	-0.58999	0.94846
HG00640	-0.53173	-0.24378	-0.68814	1.0742
HG00641	0.07405	-0.23227	0.92202	0.46388
HG00642	-1.37355	-1.16684	0.11537	-1.34691
HG00650	-0.47675	-0.96178	-0.2298	-0.112
HG00651	0.02872	0.32972	0.14985	-0.19365
HG00652	-0.89942	-0.05856	-0.98136	0.55412
HG00653	1.84345	-0.88401	1.68409	-0.85107
HG00654	1.15476	-0.09108	-1.76782	0.44412
HG00655	-0.12956	-0.2403	1.8476	-0.36742
HG00656	-1.28392	2.01583	-1.01725	-0.41628
HG00657	-0.41937	0.45544	0.05752	-0.93106
HG00658	1.10039	0.86809	-0.22129	0.78201
HG00662	1.73925	-0.55099	0.59706	1.41667
HG00663	0.80396	-0.75108	0.94852	0.5963
HG00664	0.17542	-0.1026	-0.55516	0.29102
HG00671	-0.15737	1.29174	-0.04823	-0.10865
HG00672	0.54778	0.33899	-0.30971	1.76985
HG00673	0.21817	-0.77725	0.15596	0.11004
HG00674	-1.54212	0.28365	-0.08603	1.47141
HG00675	0.51438	-0.54672	0.39723	-1.35482
HG00683	0.10966	-1.07668	-0.03348	0.16446
HG00684	-1.83716	1.4895	1.84783	-2.07747
HG00685	-0.11158	-0.6502	-0.56807	0.61711
HG00689	0.36555	-1.86511	0.56426	0.88394
HG00690	-0.64169	0.14107	0.84525	0.8455
HG00691	0.05655	0.37065	0.67205	0.21421
HG00692	0.58476	-1.04401	-1.45019	1.04992
HG00693	0.85593	1.11669	-0.43977	1.44241
HG00694	-1.48281	-1.53055	0.29412	1.61292
HG00698	-0.09472	0.70918	0.95744	0.53208
HG00699	-0.71139	0.17617	-1.24866	-0.48236
HG00700	-0.27581	1.35645	1.88808	0.55609
HG00701	-0.29098	-1.31846	1.29125	-0.47021
HG00702	-0.40522	-1.14506	-0.19322	0.88146
HG00703	-0.39909	0.69129	-0.38027	-0.89199
HG00704	-1.6558	0.18961	-0.00948	-1.55892
HG00705	-1.96585	-1.08752	-1.99681	2.0301
HG00706	0.36271	0.08702	-1.18725	-0.1912
HG00707	-0.68473	-1.30777	0.28031	-0.7744
HG00708	1.6772	0.9953	-2.39165	0.34534
HG00709	1.27311	1.23521	0.0362	-1.78732
HG00717	-0.26081	1.02318	-1.18186	0.24174
HG00728	-2.45439	1.20017	-0.0635	-0.24334
HG00729	-0.21891	-0.07809	1.00248	0.39037
HG00731	-0.09754	0.61044	1.7667	0.14605
HG00732	0.29804	0.36161	-2.08043	0.12485
HG00733	-3.15189	1.34225	0.39516	-0.02992
HG00734	0.07952	-0.75856	-0.52766	0.04281
HG00735	-1.88062	1.59203	-1.24414	-0.04286
HG00736	1.90298	-0.55859	-0.12285	0.16657
HG00737	1.39271	0.26516	-0.70711	-0.13863
HG00738	-0.2074	-1.98838	1.31652	1.31113
HG00739	0.24428	-1.16105	-0.89296	0.19241
HG00740	0.00126	-2.89103	0.83162	-0.18489
HG00741	-0.24589	-1.8715	-1.74453	-0.59787
HG00742	1.04563	0.49719	0.69593	-0.57191
HG00743	-0.27542	-0.05126	-1.23852	0.15918
HG00759	-2.06381	1.19593	1.79869	0.843
HG00766	-0.83299	1.02121	-0.94809	-0.7407
HG00844	-0.06098	-0.05116	0.39349	0.39999
HG00851	2.2042	0.85001	1.54547	0.98007
HG00864	-1.75625	-0.55699	1.39851	0.26539
HG00867	-0.01504	-0.31554	-1.2066	0.80451
HG00879	0.40709	-0.03555	-1.20487	-0.1349
HG00881	-0.97349	-1.97439	-0.58621	-0.18602
HG00956	-1.83448	1.12207	-2.49402	-0.27274
HG00978	0.37084	-0.11824	-0.27465	-0.58331
HG00982	-0.48695	-0.49033	0.13613	2.4905
HG01028	-0.92467	-2.10456	0.50397	0.17906
HG01029	0.80883	-0.34699	0.97722	-0.61057
HG01031	0.55382	-0.45647	0.42517	-0.6406
HG01046	0.66003	-1.09284	-0.24948	1.37843
HG01047	1.60796	-1.3163	0.57769	-1.83454
HG01048	0.90288	1.54998	0.70678	1.23138
HG01049	-0.46685	-1.84108	-2.49286	0.79884
HG01050	0.16852	-2.27469	-0.20923	0.00991
HG01051	-0.27987	-1.25799	0.12358	2.65937
HG01052	-0.941	0.52398	-1.01017	-0.11922
HG01053	0.88193	-0.41686	-1.42259	-0.13938
HG01054	-0.95258	0.19557	0.83101	-0.51534
HG01055	0.93928	-0.03347	-0.61616	0.50201
HG01056	-1.27552	-1.12318	-0.87418	2.40522
HG01058	-1.2696	0.60038	0.73653	-0.34381
HG01060	-0.73427	1.33205	-1.29408	-0.54251
HG01061	0.65565	-2.07688	-1.48118	-1.0775
HG01062	-0.95505	1.67487	-0.02048	-0.53459
HG01063	-0.13166	-0.95078	0.07826	-2.35282
HG01064	0.47813	0.8259	0.66359	1.64896
HG01066	-1.25156	0.62691	-1.65697	0.25369
HG01067	-0.73483	1.54701	-1.14174	0.28628
HG01068	-1.70333	0.04443	-0.82444	-1.07969
HG01069	-0.46062	0.22765	-0.68735	1.67815
HG01070	-0.97471	-2.32624	0.67701	0.65394
HG01071	0.97946	-0.82125	0.78071	0.26061
HG01072	-0.34669	-0.57997	-0.33114	0.9848
HG01073	0.38996	0.57525	0.8922	-1.35505
HG01074	-0.06751	-0.20217	-1.05397	0.30265
HG01075	0.83782	0.27582	0.5823	-0.50864
HG01077	-0.01927	-0.89013	1.42303	-0.12903
HG01079	-0.15296	-0.29697	-0.13096	0.51216
HG01080	0.73767	-0.20558	1.23709	-0.23855
HG01081	-1.07102	-1.16716	-1.06192	0.07832
HG01082	0.12316	2.38491	-0.08015	0.30795
HG01083	0.25853	-1.00182	-0.15877	-1.05323
HG01084	-1.35455	-0.61627	-0.08652	-0.89633
HG01085	0.05031	-0.48732	-0.47932	-0.00882
HG01086	-0.69928	-1.33612	-0.14419	-0.12037
HG01087	0.18807	-2.08561	1.18628	-0.76474
HG01088	0.03405	-2.31609	0.21652	0.79046
HG01089	-0.2308	0.5521	1.81532	0.05618
HG01092	0.03377	2.17292	0.20023	0.49079
HG01094	1.49011	-1.26731	0.68657	-0.42651
HG01095	1.5141	-0.92242	-0.05399	-1.29119
HG01096	-0.40309	-0.07395	1.51005	0.52708
HG01097	0.64647	0.25394	0.62049	-1.43832
HG01098	-1.41021	-1.7981	2.47259	0.34034
HG01099	1.12949	-1.6323	-0.62671	2.51428
HG01100	0.57311	0.10421	0.89617	0.26146
HG01101	0.15884	-1.73193	0.63718	0.55984
HG01102	-0.27522	0.46335	1.23102	0.46345
HG01103	-0.73107	0.41615	-1.51138	-0.25334
HG01104	-0.72773	-0.00519	-0.38561	-0.41285
HG01105	0.11685	0.63822	0.70177	-1.16434
HG01106	-2.73013	-0.73396	-0.50771	-0.27617
HG01107	1.00222	1.35883	0.0109	-0.47699
HG01108	-1.16225	-0.80732	-0.65678	-0.49074
HG01109	-0.48599	-0.04506	0.43547	-0.31204
HG01110	-1.22255	-1.97129	-0.98995	0.02117
HG01111	-0.34304	-0.1246	0.70528	-0.30833
HG01112	0.051	-1.66988	0.79852	0.68621
HG01113	0.11277	-1.08434	0.94993	0.27562
HG01114	0.81533	-0.26344	0.69408	0.13718
HG01119	-0.93762	0.48581	-0.12782	-1.13306
HG01121	-0.15664	1.44961	1.19648	0.88341
HG01122	-1.47227	-0.42681	-0.43323	0.43893
HG01124	2.96175	0.16995	0.42104	1.05294
HG01125	-1.68571	-1.60797	-0.35082	-0.78002
HG01126	-0.29101	0.14878	-0.93316	1.06523
HG01130	1.71338	-0.6172	0.21644	-0.63488
HG01131	1.91852	-0.00448	1.78902	-0.11262
HG01133	-1.72926	-1.37693	0.49143	1.60288
HG01134	0.09177	0.28928	0.32907	-0.23074
HG01135	0.69853	0.32317	-1.71043	-0.89757
HG01136	-0.26461	-0.9756	0.10518	0.59943
HG01137	0.36485	0.68322	-1.99095	0.65228
HG01138	1.20373	0.52499	1.2821	0.12206
HG01139	-0.16918	-0.38805	0.56907	0.01837
HG01140	-0.18277	-1.61013	0.70216	-1.29049
HG01141	0.77222	-0.22642	-0.00119	0.6735
HG01142	-0.90277	-0.11322	1.02225	0.17905
HG01148	2.70894	0.11668	-0.46261	1.69506
HG01149	0.099	-0.28044	-1.6163	1.15421
HG01150	-0.82784	0.17901	0.54313	-0.80828
HG01161	-0.21231	1.33907	0.39982	0.77492
HG01162	-0.50042	-0.13287	-0.07371	0.42693
HG01164	-0.63712	-0.86299	1.14175	-0.37148
HG01167	0.94988	-0.39495	-0.60871	-0.57216
HG01168	0.19874	0.37937	0.55299	-0.24778
HG01169	0.02767	0.58696	-0.41787	-1.37931
HG01170	0.46471	-1.06601	0.21314	-0.79457
HG01171	1.0467	0.59636	0.3682	-0.98233
HG01172	0.47424	2.69367	-1.13054	0.48302
HG01173	0.2387	-0.18362	-0.88778	0.24509
HG01174	0.01256	-0.86155	-1.09084	-0.72623
HG01175	0.2885	0.3303	1.01787	-0.17393
HG01176	-0.04705	0.18667	0.03166	-0.87055
HG01177	0.99055	-1.81559	-1.45093	-0.73772
HG01178	0.3934	1.10436	-0.07924	1.00197
HG01182	0.32328	0.26018	0.27476	-0.54062
HG01183	1.58782	1.17746	1.13385	-1.84771
HG01184	-0.61954	-1.41032	0.2799	1.30592
HG01187	0.67741	2.24064	-1.82037	-1.6034
HG01188	-0.36548	-0.92854	-0.06776	1.30257
HG01189	-1.01241	0.199	-0.74429	1.26521
HG01190	-0.43509	1.32595	-0.69687	-0.89948
HG01191	2.19485	0.3129	0.05049	-1.85506
HG01192	1.09885	0.39126	0.36143	1.19209
HG01197	-0.65628	0.08441	2.50061	-1.22925
HG01198	-0.88996	1.29462	-0.8144	-0.73551
HG01199	-0.15524	-0.19167	-2.22832	-0.22652
HG01200	-1.26465	0.11823	-0.14281	0.67221
HG01204	-0.23767	-0.89555	-1.17587	0.83816
HG01205	1.34489	-0.34731	-0.40986	-0.13798
HG01206	-1.34637	0.25518	-0.7702	-1.22732
HG01241	0.39279	-0.62951	1.19888	-0.13176
HG01242	2.10262	-0.81442	-0.67776	2.10565
HG01243	-1.33593	0.45833	-1.22265	-0.45016
HG01247	-0.65733	-1.49609	-0.50608	0.88662
HG01248	0.00721	0.21263	-1.74799	-1.58071
HG01249	-0.68428	0.19323	0.90504	-0.80459
HG01250	0.42164	0.37186	1.04403	0.32253
HG01251	0.51566	-2.12327	-1.18404	-2.47189
HG01252	0.32482	-0.12507	1.32748	-0.12574
HG01253	-0.23102	0.28281	-1.01815	-0.27834
HG01254	-0.09968	0.35588	1.29407	-2.2699
HG01255	-2.02582	-0.44589	0.29423	-0.21442
HG01256	0.6707	-0.6615	0.73881	0.24216
HG01257	-0.2637	-0.42019	-1.01117	-1.66962
HG01258	0.09335	1.92595	-0.69415	-1.24312
HG01259	0.30368	1.30958	-0.79219	-0.96538
HG01260	-1.45854	1.3852	1.01465	0.34364
HG01261	-0.23377	0.93017	0.14084	-0.6025
HG01269	0.57614	0.3983	-1.16775	0.85481
